Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
8.360035213294464418e-01,9.472865672724910535e-01,9.335555308519547513e-01,6.997288291386477566e-01,7.932352825049483469e-01,7.901842417093796200e-01,7.914113697167103334e-01
8.503381749063438910e-01,9.383985439908507642e-01,8.918197489676260581e-01,7.290426368814953983e-01,7.754298843092130022e-01,7.719229593648579968e-01,7.741157867387086222e-01
8.294103293009460476e-01,9.339159356571061776e-01,9.035120645639015402e-01,7.806018509462890886e-01,8.235647861688184523e-01,8.222854976652179682e-01,8.237141734892108325e-01
7.909669472792862921e-01,9.310315759607544761e-01,9.088988656794017018e-01,7.967853078376404552e-01,8.410514801510627914e-01,8.429628819773694604e-01,8.414940565680590900e-01
7.962232008429901420e-01,9.316501499105102058e-01,9.271128531829143649e-01,7.719635455041896632e-01,8.218118687197453198e-01,8.243042338179308315e-01,8.225924422513637424e-01
8.509551650411038004e-01,9.463059467836997252e-01,8.997462514340690554e-01,5.383193017601929364e-01,6.556077919902297824e-01,6.474588306761932532e-01,6.500731694202772637e-01
8.496669083980826764e-01,9.431030480779662994e-01,8.943657804562297198e-01,5.358693308543511780e-01,6.529224098281435351e-01,6.446618302387476795e-01,6.472381743135182663e-01
8.509846432253246329e-01,9.484098013784501013e-01,9.088339651608483560e-01,6.129006112692099162e-01,7.391210261309103524e-01,7.234747650756220283e-01,7.313150950273719086e-01
8.501516790610643692e-01,9.440171431473166619e-01,9.020260442559491221e-01,5.864893814533065353e-01,7.213569298669983976e-01,7.057831882280740654e-01,7.135460379795569574e-01
8.864492093305509357e-01,9.370162571722535638e-01,9.114182338249215976e-01,7.837515694169393532e-01,8.560348939569253357e-01,8.462525221217476190e-01,8.532457246835748466e-01
8.827333655593099238e-01,9.347111422784006862e-01,9.033969081345649688e-01,5.516186133833809180e-01,6.782073094138872937e-01,6.697287051436484617e-01,6.735375248957932159e-01
8.675941369291583216e-01,9.371708099499003186e-01,8.997686849275824406e-01,7.346760902686305661e-01,8.185965808338772076e-01,8.131199659318198991e-01,8.140759535995777396e-01
8.636181550691107711e-01,9.227260655697276936e-01,9.404411271675983119e-01,7.626796863058212805e-01,8.126130123143129325e-01,8.128273128506343648e-01,8.126021140271334486e-01
8.478066043061051049e-01,9.310722676777308804e-01,9.377057929520415946e-01,7.698783263497032125e-01,8.143123756398993329e-01,8.141643921930636907e-01,8.141428030891957324e-01
8.434516704799283060e-01,9.358199710615237032e-01,8.906720686843385693e-01,7.743601512913773632e-01,8.276483974375287156e-01,8.307928917616328457e-01,8.282002694268829623e-01
8.002763064413260796e-01,9.278443243228419179e-01,9.361726988034771990e-01,7.712878027957732474e-01,8.183539490444552422e-01,8.157699803616560441e-01,8.172392988779515477e-01
8.278812808309057303e-01,9.371488205199730581e-01,9.165404160527280686e-01,7.750579808844203500e-01,8.264075117292212225e-01,8.261656118359451684e-01,8.262027031075396266e-01
8.432060443411024675e-01,9.178005994231148712e-01,9.466829103207019536e-01,7.797634473055589099e-01,8.212330470628833590e-01,8.190732131691889073e-01,8.205993986381824312e-01
8.446670473634466658e-01,9.259004243382866761e-01,9.475917125649981898e-01,7.799657743869216064e-01,8.210876729745237856e-01,8.188810648874976783e-01,8.204315836113204030e-01
8.434047339680482702e-01,9.285827564618668317e-01,9.445997866630221340e-01,7.814653231108290576e-01,8.228383634906487609e-01,8.200494339572578228e-01,8.220637964896264638e-01
8.294113219343738352e-01,9.365875816623626671e-01,9.415113879011500764e-01,7.781068714924200824e-01,8.189591644336627896e-01,8.161547377143004711e-01,8.179841576478601439e-01
8.342987882825306789e-01,9.278376378990799145e-01,9.481532104936113425e-01,7.747145489332434298e-01,8.168016302988986288e-01,8.143365137785399943e-01,8.159654027657360365e-01
8.537248402993349305e-01,9.382369897696887229e-01,8.907144972302830643e-01,7.596563420332266281e-01,8.430581580851508328e-01,8.441706530898244187e-01,8.437995546915242340e-01
8.505172401066579679e-01,9.352204291002315095e-01,8.931281928309324769e-01,7.728383502371143354e-01,8.406626955528938572e-01,8.421233441709971013e-01,8.412766033783355413e-01
8.525154055884951454e-01,9.404412243949991090e-01,8.911611551075585558e-01,7.668716204520518165e-01,8.354577594618650682e-01,8.376153241304199470e-01,8.365587617745083859e-01
8.476885092542653100e-01,9.464136396878477520e-01,8.968639233610347095e-01,7.665449632077727671e-01,8.360875464482381281e-01,8.375930312815706991e-01,8.372701814291777511e-01
8.464930894863921251e-01,9.560947893623815697e-01,9.063533999716059109e-01,7.528966272844760388e-01,8.351747663490041163e-01,8.308197348960255635e-01,8.346874333797502654e-01
8.109121747786423029e-01,9.483931000863372596e-01,8.964110699416096839e-01,7.764506704488304267e-01,8.406368886831860898e-01,8.408867685193119890e-01,8.410517239377380827e-01
8.500500619859813201e-01,9.470789860299624330e-01,9.266021368043753093e-01,7.864926988535831942e-01,8.569762885071265934e-01,8.565703156482161740e-01,8.568137125187167413e-01
8.591700665070366449e-01,9.524325255674438440e-01,9.257888186952404341e-01,7.764169547441978070e-01,8.495025463216839823e-01,8.491971535907198998e-01,8.484005269345016309e-01
8.471185382849680812e-01,9.475189124914189520e-01,9.203964346931964302e-01,7.835391219343684766e-01,8.401427648940479331e-01,8.421432118923983801e-01,8.405154775461144423e-01
8.596939205415154994e-01,9.455068146952310126e-01,9.035196747858360578e-01,7.725625043493146160e-01,8.480448638578816922e-01,8.485084752492048077e-01,8.486158590039317717e-01
8.501474869749600094e-01,9.519484765831317530e-01,9.167972626280304071e-01,7.740702966049365363e-01,8.400875536100395058e-01,8.447388410037618423e-01,8.418214320558097263e-01
8.492947163817741174e-01,9.440179758318500980e-01,9.451934660863734461e-01,7.752661934225766327e-01,8.262870146567671270e-01,8.275988059812026121e-01,8.264061701773202095e-01
8.519884996218810569e-01,9.455762517983993254e-01,9.451475286118145025e-01,7.731394330641870871e-01,8.256083876027582313e-01,8.273450065920848751e-01,8.258390638975910969e-01
8.624202194958396905e-01,9.458594674444266159e-01,8.996534716669599696e-01,7.522650233832101074e-01,8.337921211904236740e-01,8.303632656097668097e-01,8.337046710277544737e-01
8.305038016988047778e-01,9.606697637956016500e-01,9.124155059740138851e-01,7.485837858501884767e-01,8.381742210261139414e-01,8.336634545088322801e-01,8.379289053911812557e-01
8.309298804698990182e-01,9.469833862568479699e-01,9.086182719798797658e-01,7.808889108084772213e-01,8.392510957047950582e-01,8.417322544006607954e-01,8.403504191104667065e-01
8.629722423843169121e-01,9.434128914986279479e-01,9.039339720757990637e-01,7.721607718348380001e-01,8.490039519561861647e-01,8.492849782753416621e-01,8.495383399162713678e-01
8.794219997066951011e-01,9.468747802628216803e-01,8.936928651896274278e-01,7.484100320784026206e-01,8.251245715159812866e-01,8.242782651387067228e-01,8.262275299412783491e-01
8.534968411928804954e-01,9.518301490969601764e-01,9.319466778822088626e-01,7.134321269677633692e-01,8.043343893243614096e-01,8.022686419129425595e-01,8.033596211051818869e-01
8.859045807720267174e-01,9.484069985869797437e-01,9.103255720713065990e-01,7.019886140538630359e-01,8.311492936265925113e-01,8.291763638187353846e-01,8.305945129304350694e-01
8.590005500646957781e-01,9.504384291990479738e-01,9.060825917109598393e-01,6.072919985955677058e-01,7.470243073875203477e-01,7.423167460748247848e-01,7.455548352055111350e-01
