Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
8.347295072826438345e-01,9.493861772429634804e-01,9.129630962540384864e-01,7.087795355147210596e-01,8.105428014002380444e-01,8.121762767486819801e-01,8.107045993626109670e-01
8.628123507710758755e-01,9.558699291538866882e-01,8.699427660525125283e-01,7.301214912417208769e-01,7.883561297112521293e-01,7.892387538454144202e-01,7.882519284992185460e-01
8.385683100040642879e-01,9.473550014708576050e-01,8.834185316550544620e-01,7.822390645173558088e-01,8.331653876194812236e-01,8.345575610315345561e-01,8.341991589969387499e-01
7.990292999228911786e-01,9.413844610972261773e-01,8.933273380953559162e-01,8.078218435843174117e-01,8.542901870480895665e-01,8.579057581049291947e-01,8.557971059996662966e-01
7.994076694425433782e-01,9.410071562909970710e-01,9.157410816917384011e-01,7.809420918535080469e-01,8.363582825811244348e-01,8.405624468398187332e-01,8.380292655403178692e-01
8.654107693896558873e-01,9.582594588784716372e-01,8.861112130752882843e-01,5.454802563855751796e-01,6.718694877012636457e-01,6.735335719198205506e-01,6.709696117349076561e-01
8.632992607835637822e-01,9.554189519794920038e-01,8.819728582566185304e-01,5.430818698084707297e-01,6.699491782402243745e-01,6.717657001168023667e-01,6.688706202753584851e-01
8.610478058759867270e-01,9.556841662218734657e-01,8.992816011503506068e-01,6.162928154470388442e-01,7.519041644745886321e-01,7.478583609801112697e-01,7.501657537596718717e-01
8.612069607921453152e-01,9.524236580488875115e-01,8.920489882432663942e-01,5.913741764006313906e-01,7.421170153237393041e-01,7.403485202948631994e-01,7.410412252530506061e-01
8.943196240079811510e-01,9.516660041022404481e-01,8.977870058013458499e-01,7.962914602326794933e-01,8.671502129782384660e-01,8.661229982848916986e-01,8.685075717656933758e-01
8.888104574811626080e-01,9.549980128787920464e-01,8.786759381191094898e-01,5.585589127622176964e-01,6.963644571299675290e-01,6.993736182365154486e-01,6.970197384275553798e-01
8.771764301132788377e-01,9.538634585252641074e-01,8.763627542322418584e-01,7.223043500209500589e-01,8.309956248092239539e-01,8.303619576479324138e-01,8.286021873452135145e-01
8.701284497216414948e-01,9.287953763367340354e-01,9.344296735951367339e-01,7.685207578751849233e-01,8.265395554102341613e-01,8.285891085787040478e-01,8.272375427785857438e-01
8.439967575395425081e-01,9.413102503872106119e-01,9.281026834200910569e-01,7.765404909050909188e-01,8.281316628995860629e-01,8.300382323823815023e-01,8.287733694951927577e-01
8.478668437506540201e-01,9.526402582860830082e-01,8.690155545539387516e-01,7.834771382066400003e-01,8.416652503645526417e-01,8.449661076329811893e-01,8.426245699086436503e-01
8.017779882847460016e-01,9.349931824571425798e-01,9.264146020422217020e-01,7.750374079266246774e-01,8.283733024760208119e-01,8.279526509814303381e-01,8.282665689320298785e-01
8.285439636558326049e-01,9.464305196920443919e-01,9.049520262692060113e-01,7.805715965951970370e-01,8.379065824586601208e-01,8.391147093345283636e-01,8.384335899822200622e-01
8.482317602922063715e-01,9.192510697047009405e-01,9.432442818358837133e-01,7.837953396949609575e-01,8.313865156766204745e-01,8.320169108207742248e-01,8.320016103446056244e-01
8.501619297132323450e-01,9.186498285278955622e-01,9.443154891500729065e-01,7.839696293327775845e-01,8.311288179978371105e-01,8.316936103432918115e-01,8.317150032045200758e-01
8.394992488509360751e-01,9.281837645774608792e-01,9.381945733238257201e-01,7.845201081714323621e-01,8.321864052830705294e-01,8.322126736412149839e-01,8.326568033715087136e-01
8.213253510659376255e-01,9.347254838278169498e-01,9.324481882169767255e-01,7.804265710939837231e-01,8.281472453510425602e-01,8.280752758328084884e-01,8.283277293329571744e-01
8.314713242669030668e-01,9.196490259055378758e-01,9.429998173005835760e-01,7.772648590329005458e-01,8.258568903927121507e-01,8.259900810052555054e-01,8.261713738135916252e-01
8.614290416644965198e-01,9.546366488844039155e-01,8.659876151581381576e-01,7.658156355590194364e-01,8.549315009978315505e-01,8.576544277478416189e-01,8.562145993637705343e-01
8.609432705598510926e-01,9.519265297383245894e-01,8.729287036336274008e-01,7.765277244952474289e-01,8.535610044619301728e-01,8.566881405424376927e-01,8.548717075373932772e-01
8.566225176762257698e-01,9.558725290379423978e-01,8.695115962948974930e-01,7.714939209479130255e-01,8.474175033986779404e-01,8.509302010248417369e-01,8.490554731897999030e-01
8.553349473443375706e-01,9.591159995204462385e-01,8.829185473500047454e-01,7.704151594064483355e-01,8.493369606030570784e-01,8.532780722715100907e-01,8.514667104574350498e-01
8.552188305062727869e-01,9.622690764257854079e-01,8.866545644562060513e-01,7.427458829411187624e-01,8.453705711307376580e-01,8.447268372891898469e-01,8.458915269728378705e-01
8.190881367659663681e-01,9.592462569749531376e-01,8.784102924541574708e-01,7.781145593427416518e-01,8.525270896140246801e-01,8.549364205393827909e-01,8.537030455376355409e-01
8.658404076360475266e-01,9.522147347908095361e-01,9.152976331927672460e-01,7.878643895759243065e-01,8.671571657576065961e-01,8.682382036646767443e-01,8.675468625472435580e-01
8.733589322406390965e-01,9.539612892727034055e-01,9.046131303302676896e-01,7.728889700928784912e-01,8.613691759760617739e-01,8.637277086221316624e-01,8.616596436158827643e-01
