Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
2.748217892275176336e-02,8.304411917051119918e-01,9.037610207283004460e-01,1.678127317544387230e-03,1.121268225575400290e-02,1.065178647979948476e-02,1.008314600968630501e-02
5.194514064848845120e-02,7.623984890516980473e-01,9.865476580324366029e-01,1.190592582306796571e-02,6.582714598722315402e-02,6.554208426492363904e-02,6.328991405773176648e-02
2.666234253948020910e-02,8.638319389066584364e-01,9.186832824566548705e-01,1.458833490806083800e-02,1.023400236901169241e-01,1.156594276319088122e-01,1.056816192277258426e-01
2.216537064163849047e-01,7.827449434490906244e-01,9.432490902318142467e-01,3.722951040463575584e-02,1.600466440464719531e-01,1.387341485551699116e-01,1.388577437096387979e-01
1.454073212603963251e-02,1.000000000000000000e+00,8.260558854413893037e-01,3.538987869180005436e-02,1.763302409321497177e-01,2.094760983381697417e-01,1.905612108748876432e-01
5.531981855137150378e-03,8.191836220435376736e-01,9.050736315085483596e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.833019119611735581e-02,7.618165461604927691e-01,9.649451008854048606e-01,1.737369803036748622e-02,7.799640717008675395e-02,7.875651364545528665e-02,7.373047307131488926e-02
1.039511878047027216e-01,7.404319236007678162e-01,1.000000000000000000e+00,2.986539467903030071e-02,1.364261687448942995e-01,1.352541251052370996e-01,1.303467922922451616e-01
5.295442821448700238e-02,8.070258113990120830e-01,9.687428975526213293e-01,1.048364687833913261e-01,3.141592965669440241e-01,3.249892351857172623e-01,3.088447090867316724e-01
6.735518914576514582e-02,8.759772635766329696e-01,9.273927624000373182e-01,1.349439827627896549e-01,3.578024470798940593e-01,3.869434594301652264e-01,3.630653585513813897e-01
1.505488545227438302e-01,8.169332884678283113e-01,8.935764267260977167e-01,1.528370921947000069e-02,1.204230148722283122e-01,1.096299172618096368e-01,1.070140743847993875e-01
4.853987147288038595e-01,8.020165439488546877e-01,9.400434367599069807e-01,1.147868439800776019e-01,3.069937935507899840e-01,2.692830751613357054e-01,2.645366366958577520e-01
2.413490683267883463e-01,8.316223879719435441e-01,9.588601514416913441e-01,7.599710714425150955e-03,5.669995401037793148e-02,4.540595368215679523e-02,4.915446120529583934e-02
7.259039215175188131e-01,7.912747087639570021e-01,9.829190568305561371e-01,5.652139631782689827e-02,2.471907662398194483e-01,1.859111325144485183e-01,2.063036206485777124e-01
2.445869654808454086e-01,8.419495364087112854e-01,9.634046402920904972e-01,2.299990672969265751e-02,9.728509600741247487e-02,9.116878316238388735e-02,8.741723267822572307e-02
1.113878876195261297e-01,7.814312048148318590e-01,9.501748585017432136e-01,1.548131249415242612e-02,8.978787292901581341e-02,7.709515737010161351e-02,7.788338544029339838e-02
9.233090460588565251e-02,8.296596237988344003e-01,9.463090322437731627e-01,1.240494053056797642e-03,1.224965611578648396e-02,1.097521549118678219e-02,1.075982219761965029e-02
8.677711093912110138e-03,9.456119679990870885e-01,8.494320810774187436e-01,1.858166940419336485e-02,1.079293144492701612e-01,1.279435043079502621e-01,1.167546190822095487e-01
7.671702732729816787e-03,9.251310246076140942e-01,8.455498800362212242e-01,2.245679057386470133e-03,1.260371520680241691e-02,1.424086666579712189e-02,1.323679168626912435e-02
1.074156785846902377e-02,8.225539704797523166e-01,9.433948971882619716e-01,1.377838765061173637e-03,1.313729541938081849e-02,1.379731957594898355e-02,1.288634748908967786e-02
1.881080206858258899e-02,8.829406519492102312e-01,9.194880500971164272e-01,1.104352370022989617e-02,7.389499476144577306e-02,7.646216560002722096e-02,7.402512861365072305e-02
9.891908010120536998e-02,8.518985676416733765e-01,9.505974157398410229e-01,2.491358189380823429e-01,4.439054615724152830e-01,4.481450799417830422e-01,4.347497582151993445e-01
1.158744955615748917e-01,9.285956788243032722e-01,8.837934007588953422e-01,4.474260986314618771e-01,6.155351650930210861e-01,5.911814410186576607e-01,5.953180972370737400e-01
1.928663082498126291e-02,9.443401554643383600e-01,8.844349436885438065e-01,1.156238868011120850e-02,8.479437086737659501e-02,9.128797403080726736e-02,8.710832696999475100e-02
1.352471479798121774e-02,9.140051744411189505e-01,8.846921098859754640e-01,1.441546684618617846e-02,7.547422119494551218e-02,8.602721810415850379e-02,7.987090385118425506e-02
9.762902559089867149e-02,9.129498352219865831e-01,9.031385527672013414e-01,2.460559982199772289e-01,4.819498844152705908e-01,4.910061524501701524e-01,4.778846930793856362e-01
3.258874542982398426e-02,9.546064951358085304e-01,8.724790246270475169e-01,5.462229488525430915e-02,2.314813436204848085e-01,2.513853053678407057e-01,2.386170264245971173e-01
1.394482784511488771e-01,7.287422706757800128e-01,9.849726366242496089e-01,6.611653803488713732e-02,1.446437770085530761e-01,1.474051664102049020e-01,1.394849139189533738e-01
1.650513489653093746e-02,7.516929309874176290e-01,9.706916889111116831e-01,1.031588384898828904e-03,8.742254769043790105e-03,9.088928360940603385e-03,8.462924501639696936e-03
1.418118689362428686e-01,6.778883617778647119e-01,9.869873150957175767e-01,1.762539977868386731e-02,1.030091306640800036e-01,1.026337339336883814e-01,9.876409821905804409e-02
6.156884291129742504e-02,7.353598053009540170e-01,9.640505216542810674e-01,4.122754389937617961e-03,3.046775275141651654e-02,3.099401528460988750e-02,2.931287547086965442e-02
7.226018135925128816e-02,8.206954906364004598e-01,9.585475205561113654e-01,6.274160986828794875e-03,4.040897651740456287e-02,4.383655188035860684e-02,4.058197534259106593e-02
8.247625926604056079e-02,8.124832022443330137e-01,9.399892292423596141e-01,2.685949219010771299e-02,1.327106586615274808e-01,1.472114173850653240e-01,1.341940442989681681e-01
4.185966003635188670e-02,8.627575446185644648e-01,9.246571852853854301e-01,2.126881011351707332e-02,1.347083817856679355e-01,1.454821871446264625e-01,1.358243940114649828e-01
3.555725014005418905e-02,8.472635246683817289e-01,9.150934370604945078e-01,4.845123130461022332e-02,1.260852092744504938e-01,1.389173327257184620e-01,1.256067123644679928e-01
1.002265709332689353e-01,8.505745207888888437e-01,9.278073119518658318e-01,3.429466024149800951e-01,5.953806633956906236e-01,6.111819915802889636e-01,5.847410991022058413e-01
4.783414001003775951e-02,8.192342584087021207e-01,9.456040048252249974e-01,1.186168000465992120e-02,7.990852287680660915e-02,8.879058800913355864e-02,8.196388469649949771e-02
4.125665035237194994e-02,8.790756281734467548e-01,9.138945466095489412e-01,2.465848175415255930e-02,1.386809763148012797e-01,1.558277964812257721e-01,1.411965826886797670e-01
6.383721802186251293e-02,8.950045388415520664e-01,9.053718544335654927e-01,3.992090846542117183e-02,2.092084083809821748e-01,2.289600476505953275e-01,2.140374714333677097e-01
3.057132733440588376e-02,8.771450665075618547e-01,8.946591151079383852e-01,1.707929374148881019e-02,9.849091499594853083e-02,1.136213374759918876e-01,1.011387976947727557e-01
1.500883014717333541e-01,7.474340653686822877e-01,9.565109312484436632e-01,6.025358695634946971e-03,4.451510867961399470e-02,3.877347635585351449e-02,3.912645002859716642e-02
3.664122632428336995e-02,8.175942483585869613e-01,9.395711700439335345e-01,5.443848504743379517e-04,5.180446260696924127e-03,5.407143130484508287e-03,5.044136085687970887e-03
6.943930327248208634e-02,8.024936414723627953e-01,9.568071274269372983e-01,1.524670789143495742e-01,4.157484578541598697e-01,4.213570270700628950e-01,3.981638874666267314e-01
8.061261408879014101e-02,7.429997494483457920e-01,9.769487854867390242e-01,4.691272516485706090e-02,2.269753995541248515e-01,2.347103144305956457e-01,2.217603359508973082e-01
1.095424433362106875e-01,7.641788917761308531e-01,9.540820693482097159e-01,3.376710152459066420e-03,2.482492685704582383e-02,2.175206938462287062e-02,2.179162515422029822e-02
1.094931322651242558e-02,8.673392191875129997e-01,8.906770248253720323e-01,2.067911762887370865e-03,1.691325690342168273e-02,2.143233963617127008e-02,1.864671466027319549e-02
2.932432642620388247e-02,8.201434374919238657e-01,9.530562409380112232e-01,3.493389170755372471e-03,2.046547049271368879e-02,2.160064106848577289e-02,1.981271355464003792e-02
1.309061267947568552e-01,8.431414568168744683e-01,9.278230877983971725e-01,7.256039083708794822e-03,3.320546100545161694e-02,2.597730162436468621e-02,2.803294827243589180e-02
5.467519814630290853e-02,8.232678200787931777e-01,9.252506296787234019e-01,1.131332659549395218e-03,1.070035950439237812e-02,9.871855426393610217e-03,9.710540880229420746e-03
8.199373463291144415e-02,8.054140008831256470e-01,9.533208023450374657e-01,5.048326489520379989e-02,2.350155695941665290e-01,2.531718594077019824e-01,2.362840428592343778e-01
2.145002134972246177e-01,8.628500901623608055e-01,9.114916384348997758e-01,2.826926578761274067e-01,5.303676252742391961e-01,5.353982447111109710e-01,5.210657734927665041e-01
7.209472599481425714e-01,8.060804288802336792e-01,9.739224469728806621e-01,1.053106824077267578e-01,3.322926947720901136e-01,2.417851307173024822e-01,2.734759540192858163e-01
4.978324483939807754e-01,7.878860658187192278e-01,9.628931626101184804e-01,4.425898297637891055e-02,2.025915135015067814e-01,1.646083404546792861e-01,1.730868193520326004e-01
3.687183555946476066e-01,8.294639016338605231e-01,9.612193114451529352e-01,2.324641205902680530e-02,1.257889435546818979e-01,1.015560388342347659e-01,1.077570748829765751e-01
3.722736901143466892e-01,7.950020531047248262e-01,9.544465368701289254e-01,4.711527245711767675e-02,1.769753839761243897e-01,1.430469072608331060e-01,1.530598396394362848e-01
6.248422644220677676e-03,8.213753174440903138e-01,9.079021599696718292e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.330165308886133546e-02,8.576090130888786023e-01,9.373069853413383834e-01,2.779985972330966944e-04,2.057228496771340998e-03,1.832815095058246656e-03,1.849398887515807952e-03
1.726771113701339178e-02,9.456604603310567736e-01,8.435970513712565122e-01,1.232831690714782970e-02,7.268011342547844866e-02,8.478359680386228503e-02,7.751720480379456490e-02
6.349351000043841620e-02,8.403926897230626913e-01,9.410843794878537283e-01,9.431796175100896906e-02,3.244408450275865774e-01,3.370534536541643367e-01,3.184552596909809297e-01
1.023110806082524610e-01,7.499401295373566700e-01,9.894266710755604821e-01,4.518783399247235100e-02,1.599158262462159197e-01,1.586953254325511875e-01,1.530696911282827533e-01
1.704716873305668345e-01,7.133785869261469736e-01,9.841482581329953350e-01,8.346085465645601553e-03,5.144158343575599979e-02,4.767080930081078749e-02,4.677779144341633749e-02
1.125773111440217106e-01,7.679126503723897601e-01,9.727893474611439828e-01,6.249524168995986700e-02,1.844541927986802221e-01,1.874059528056634949e-01,1.774069469161096146e-01
2.140298130692511180e-01,8.206100742343321874e-01,9.148448524581246355e-01,1.195962059378947485e-02,1.004283501218250635e-01,8.454240571354637579e-02,8.666078608432513375e-02
1.000000000000000000e+00,7.921002628221754938e-01,9.612079502386723373e-01,1.250810435836481882e-01,3.414076880032601569e-01,2.830053309988787569e-01,2.934723092176880765e-01
2.271722136662429059e-01,8.358166751420678109e-01,9.660256593949405612e-01,8.971456128511003103e-03,5.992940390726281263e-02,4.685159597939445031e-02,5.071599650603304116e-02
2.535240742232596767e-01,8.642145135993146710e-01,9.552029049177773734e-01,2.612366037971145666e-02,1.148668892184814966e-01,1.056545376838716604e-01,1.030367824974031121e-01
1.721798979892738835e-01,8.359672201779203560e-01,9.465609975569766465e-01,7.050413772873450301e-03,5.875735510213754564e-02,4.981645536153448545e-02,5.140620162248661640e-02
8.996486261912442842e-03,9.240303826038978041e-01,8.646181346061919681e-01,1.646284882245901970e-02,1.018921639223623749e-01,1.170945502361760565e-01,1.081631539228730121e-01
8.292876430781503591e-03,9.286022128047175528e-01,8.464923212286328269e-01,4.612647302709976978e-03,2.925309429532700622e-02,3.491913903503244404e-02,3.189719617091528459e-02
